name                                                                                                 linker               end_to_end           contour              MPP                  SDP                  y_length             side_chain           a                    b                    label(15)            
4mer_2C_body-1_body-5                                                                                0.27598867947873784  16.4361              24.1745              0.2006               2.0211               12.5966              2                    0                    1                    1                    
4mer_2C_body-1_body-5                                                                                0.27598867947873784  16.5363              24.6009              0.3472               2.6946               14.2441              4                    0                    1                    1                    
4mer_2C_body-1_body-5                                                                                0.27598867947873784  15.9730              22.8807              0.2013               1.9514               11.9388              1                    0                    1                    1                    
4mer_2C_body-1_body-5                                                                                0.27598867947873784  15.7796              22.7584              0.1895               1.8140               11.0951              0                    0                    1                    1                    
4mer_2C_body-1_body-5                                                                                0.27598867947873784  15.4396              22.8612              0.2101               2.0159               11.1622              3                    0                    1                    1                    
4mer_2C_body-1_body-5                                                                                0.27598867947873784  16.7161              24.2943              0.2654               2.2757               13.8910              5                    0                    1                    1                    
4mer_2C_body-1_body-2                                                                                0.27598867947873784  16.6991              24.1653              0.1480               1.8324               14.1922              2                    0                    1                    2                    
4mer_2C_body-1_body-2                                                                                0.27598867947873784  16.3881              24.6339              0.3006               2.5054               13.8529              4                    0                    1                    1                    
4mer_2C_body-1_body-2                                                                                0.27598867947873784  15.5215              22.8643              0.1878               2.0146               11.6447              1                    0                    1                    1                    
4mer_2C_body-1_body-2                                                                                0.27598867947873784  15.6197              22.8637              0.2430               2.2341               11.7029              0                    0                    1                    1                    
4mer_2C_body-1_body-2                                                                                0.27598867947873784  15.5395              22.9346              0.2201               2.1369               12.4868              3                    0                    1                    1                    
4mer_2C_body-1_body-2                                                                                0.27598867947873784  16.4683              24.3463              0.2894               2.3387               13.1530              5                    0                    1                    1                    
4mer_2C_body-1_body-3                                                                                0.27598867947873784  16.9119              24.9482              0.1523               1.8828               14.2185              2                    0                    0                    1                    
4mer_2C_body-1_body-3                                                                                0.27598867947873784  16.8315              25.4037              0.3315               2.6490               14.2793              4                    0                    0                    1                    
4mer_2C_body-1_body-3                                                                                0.27598867947873784  17.1702              24.4152              0.2084               2.1243               13.0515              1                    0                    0                    2                    
4mer_2C_body-1_body-3                                                                                0.27598867947873784  16.8853              24.2927              0.2989               2.4612               12.2810              0                    0                    0                    1                    
4mer_2C_body-1_body-3                                                                                0.27598867947873784  17.0529              24.4550              0.2288               2.1619               13.7414              3                    0                    0                    1                    
4mer_2C_body-1_body-3                                                                                0.27598867947873784  16.8340              25.1332              0.2939               2.4124               13.3897              5                    0                    0                    1                    
4mer_2C_body-1_body-8                                                                                0.27598867947873784  20.7092              28.8580              0.6859               3.3506               16.7137              2                    0                    0                    2                    
4mer_2C_body-1_body-8                                                                                0.27598867947873784  21.3929              29.7648              0.3288               2.5565               17.9621              4                    0                    0                    1                    
4mer_2C_body-1_body-8                                                                                0.27598867947873784  19.1674              27.1054              0.7354               3.2395               13.8903              1                    0                    0                    2                    
4mer_2C_body-1_body-8                                                                                0.27598867947873784  20.4356              28.5568              0.4874               2.7901               14.3985              0                    0                    0                    2                    
4mer_2C_body-1_body-8                                                                                0.27598867947873784  21.1908              29.2313              0.3674               2.5328               16.1467              3                    0                    0                    2                    
4mer_2C_body-1_body-8                                                                                0.27598867947873784  20.9729              29.1142              0.4819               2.9256               16.7503              5                    0                    0                    1                    
4mer_2C_body-1_body-9                                                                                0.27598867947873784  20.2578              29.5806              0.8504               3.6930               16.3977              2                    0                    0                    2                    
4mer_2C_body-1_body-9                                                                                0.27598867947873784  21.0986              31.1879              0.3137               2.5861               17.7186              4                    0                    0                    1                    
4mer_2C_body-1_body-9                                                                                0.27598867947873784  19.9152              29.1755              0.6518               3.1759               15.2010              1                    0                    0                    1                    
4mer_2C_body-1_body-9                                                                                0.27598867947873784  19.2081              27.8765              0.6845               3.0902               14.3970              0                    0                    0                    1                    
4mer_2C_body-1_body-9                                                                                0.27598867947873784  20.7121              29.9958              0.4447               2.7529               16.5937              3                    0                    0                    1                    
4mer_2C_body-1_body-9                                                                                0.27598867947873784  20.7124              30.6305              0.4359               2.9983               16.9915              5                    0                    0                    1                    
4mer_2C_body-1_body-10                                                                               0.27598867947873784  19.6335              27.6320              0.6326               3.4046               17.2150              2                    0                    1                    1                    
4mer_2C_body-1_body-10                                                                               0.27598867947873784  19.5381              28.1450              0.4775               3.1220               17.0264              4                    0                    1                    1                    
4mer_2C_body-1_body-10                                                                               0.27598867947873784  19.8604              26.4469              0.2013               2.1272               16.6420              1                    0                    1                    2                    
4mer_2C_body-1_body-10                                                                               0.27598867947873784  19.6238              26.3490              0.2316               2.2057               16.1533              0                    0                    1                    1                    
4mer_2C_body-1_body-10                                                                               0.27598867947873784  19.6854              26.4074              0.3154               2.3178               17.0351              3                    0                    1                    1                    
4mer_2C_body-1_body-10                                                                               0.27598867947873784  19.9196              27.9181              0.3529               2.6302               16.9038              5                    0                    1                    1                    
4mer_2C_body-1_body-11                                                                               0.27598867947873784  18.9249              25.7900              0.1685               1.9202               16.1167              2                    0                    1                    1                    
4mer_2C_body-1_body-11                                                                               0.27598867947873784  18.6690              25.7806              0.3742               2.8131               16.9223              4                    0                    1                    1                    
4mer_2C_body-1_body-11                                                                               0.27598867947873784  18.7284              25.7634              0.8348               3.3945               15.0288              1                    0                    1                    2                    
4mer_2C_body-1_body-11                                                                               0.27598867947873784  19.1146              25.7090              0.3584               2.5207               16.2290              0                    0                    1                    1                    
4mer_2C_body-1_body-11                                                                               0.27598867947873784  18.7222              25.7824              0.4371               2.6080               15.5936              3                    0                    1                    2                    
4mer_2C_body-1_body-11                                                                               0.27598867947873784  18.7564              25.7813              0.3008               2.6494               15.8481              5                    0                    1                    1                    
4mer_2C_body-1_body-12                                                                               0.27598867947873784  18.7748              25.9520              0.3075               2.4666               18.3048              2                    0                    1                    1                    
4mer_2C_body-1_body-12                                                                               0.27598867947873784  18.2269              25.9344              0.5346               3.1594               17.2727              4                    0                    1                    1                    
4mer_2C_body-1_body-12                                                                               0.27598867947873784  18.5929              25.9702              0.5219               3.0216               16.5970              1                    0                    1                    1                    
4mer_2C_body-1_body-12                                                                               0.27598867947873784  18.2693              25.9425              0.5508               3.0732               15.1857              0                    0                    1                    1                    
4mer_2C_body-1_body-12                                                                               0.27598867947873784  18.3562              25.9704              0.4162               2.6517               15.9987              3                    0                    1                    1                    
4mer_2C_body-1_body-12                                                                               0.27598867947873784  18.2240              25.9826              0.4514               2.8830               16.1164              5                    0                    1                    1                    
4mer_2C_body-14_body-1                                                                               0.27598867947873784  21.9658              29.3575              1.3496               4.2167               17.2126              2                    1                    0                    2                    
4mer_2C_body-14_body-1                                                                               0.27598867947873784  22.8068              30.5546              0.9061               4.0185               18.7217              4                    1                    0                    2                    
4mer_2C_body-14_body-1                                                                               0.27598867947873784  19.5886              26.3848              3.4716               6.7052               13.7493              1                    1                    0                    2                    
4mer_2C_body-14_body-1                                                                               0.27598867947873784  20.6856              26.4962              6.9142               10.3348              14.3102              0                    1                    0                    2                    
4mer_2C_body-14_body-1                                                                               0.27598867947873784  20.5148              27.3453              0.8762               3.4964               15.4833              3                    1                    0                    2                    
4mer_2C_body-14_body-1                                                                               0.27598867947873784  21.1904              28.2941              1.1174               4.4389               16.7155              5                    1                    0                    2                    
4mer_2C_body-14_body-14                                                                              0.27598867947873784  20.8330              27.4437              2.0104               6.5296               16.1814              2                    1                    1                    2                    
4mer_2C_body-14_body-14                                                                              0.27598867947873784  21.4698              28.5548              3.4172               7.1862               16.7437              4                    1                    1                    1                    
4mer_2C_body-14_body-14                                                                              0.27598867947873784  17.6650              23.7635              0.9360               3.9313               12.5576              1                    1                    1                    2                    
4mer_2C_body-14_body-14                                                                              0.27598867947873784  17.8434              23.8738              2.8762               4.6294               12.4431              0                    1                    1                    2                    
4mer_2C_body-14_body-14                                                                              0.27598867947873784  20.3972              27.0115              4.8648               8.2140               15.2530              3                    1                    1                    2                    
4mer_2C_body-14_body-14                                                                              0.27598867947873784  21.5400              28.6501              7.2831               10.9815              16.2546              5                    1                    1                    1                    
4mer_2C_body-14_body-15                                                                              0.27598867947873784  23.7356              31.5447              12.2025              15.4425              18.5644              2                    1                    0                    2                    
4mer_2C_body-14_body-15                                                                              0.27598867947873784  22.3007              29.5775              1.1592               4.3940               18.0540              4                    1                    0                    1                    
4mer_2C_body-14_body-15                                                                              0.27598867947873784  17.9788              24.1348              1.4481               5.0515               12.8905              1                    1                    0                    2                    
4mer_2C_body-14_body-15                                                                              0.27598867947873784  17.5266              23.5298              2.2998               4.6818               12.3902              0                    1                    0                    2                    
4mer_2C_body-14_body-15                                                                              0.27598867947873784  19.3518              25.7316              0.9102               4.0451               14.8139              3                    1                    0                    2                    
4mer_2C_body-14_body-15                                                                              0.27598867947873784  20.7997              27.6423              1.1219               4.6419               16.5063              5                    1                    0                    1                    
4mer_2C_body-14_body-16                                                                              0.27598867947873784  22.5785              30.0673              12.9215              14.0123              17.9580              2                    1                    0                    2                    
4mer_2C_body-14_body-16                                                                              0.27598867947873784  18.6707              25.4151              1.3487               5.3756               13.9111              1                    1                    0                    2                    
4mer_2C_body-14_body-16                                                                              0.27598867947873784  19.4299              25.8803              10.3176              11.2712              14.1958              0                    1                    0                    2                    
4mer_2C_body-14_body-16                                                                              0.27598867947873784  21.7487              29.2181              11.5062              13.3091              16.7233              3                    1                    0                    1                    
4mer_2C_body-14_body-13                                                                              0.27598867947873784  20.4819              27.1436              1.6370               5.8478               15.8593              2                    1                    0                    1                    
4mer_2C_body-14_body-13                                                                              0.27598867947873784  18.3382              24.7332              2.5847               5.7465               13.3342              1                    1                    0                    2                    
4mer_2C_body-14_body-13                                                                              0.27598867947873784  17.3317              23.3970              3.3560               6.2629               12.2120              0                    1                    0                    2                    
4mer_2C_body-14_body-13                                                                              0.27598867947873784  20.6534              27.2152              1.9367               5.5224               15.9129              3                    1                    0                    1                    
4mer_2C_body-14_body-13                                                                              0.27598867947873784  24.7885              32.4703              4.1589               8.1715               20.3053              5                    1                    0                    1                    
4mer_2C_body-14_body-6                                                                               0.27598867947873784  21.9883              29.6421              1.0562               4.3702               17.8544              2                    1                    1                    2                    
4mer_2C_body-14_body-6                                                                               0.27598867947873784  23.1198              31.0301              0.8179               3.9175               19.2793              4                    1                    1                    2                    
4mer_2C_body-14_body-6                                                                               0.27598867947873784  18.3304              24.7662              0.8480               3.6423               13.3124              1                    1                    1                    2                    
4mer_2C_body-14_body-6                                                                               0.27598867947873784  19.7072              26.4530              3.8015               7.5133               13.5517              0                    1                    1                    2                    
4mer_2C_body-14_body-6                                                                               0.27598867947873784  21.7406              29.1946              1.1948               4.2612               16.6990              3                    1                    1                    2                    
4mer_2C_body-14_body-6                                                                               0.27598867947873784  22.8259              30.1064              1.0222               4.0790               18.0800              5                    1                    1                    2                    
4mer_2C_body-14_body-7                                                                               0.27598867947873784  22.1705              31.1114              1.0374               4.3979               17.9465              2                    1                    1                    2                    
4mer_2C_body-14_body-7                                                                               0.27598867947873784  21.5361              30.5322              1.3291               4.9216               17.6335              4                    1                    1                    1                    
4mer_2C_body-14_body-7                                                                               0.27598867947873784  19.6252              27.1695              1.2188               4.6689               14.7656              1                    1                    1                    2                    
4mer_2C_body-14_body-7                                                                               0.27598867947873784  17.7861              24.8294              1.1365               4.1557               13.0343              0                    1                    1                    2                    
4mer_2C_body-14_body-7                                                                               0.27598867947873784  19.6430              27.5678              1.2817               4.8129               15.1575              3                    1                    1                    1                    
4mer_2C_body-14_body-7                                                                               0.27598867947873784  22.2635              30.4607              1.0713               4.5391               17.8866              5                    1                    1                    2                    
4mer_2C_body-14_body-4                                                                               0.27598867947873784  22.4529              30.9165              1.0673               4.6041               17.7216              2                    1                    1                    2                    
4mer_2C_body-14_body-4                                                                               0.27598867947873784  22.1268              30.8954              1.0721               4.5201               18.1667              4                    1                    1                    2                    
4mer_2C_body-14_body-4                                                                               0.27598867947873784  18.9533              25.8721              1.0752               4.2777               13.7696              1                    1                    1                    2                    
4mer_2C_body-14_body-4                                                                               0.27598867947873784  17.9581              24.5734              0.8945               3.3757               12.6826              0                    1                    1                    2                    
4mer_2C_body-14_body-4                                                                               0.27598867947873784  20.9050              28.6995              0.9908               4.1870               16.2210              3                    1                    1                    2                    
4mer_2C_body-14_body-4                                                                               0.27598867947873784  22.1326              30.3413              1.0480               4.6461               17.5695              5                    1                    1                    2                    
4mer_2C_body-14_body-5                                                                               0.27598867947873784  21.7134              29.5959              1.7404               5.5629               16.9844              2                    1                    1                    2                    
4mer_2C_body-14_body-5                                                                               0.27598867947873784  20.9008              29.5642              1.6527               5.5700               16.9231              4                    1                    1                    1                    
4mer_2C_body-14_body-5                                                                               0.27598867947873784  19.6302              27.1813              1.4992               5.0019               14.4556              1                    1                    1                    2                    
4mer_2C_body-14_body-5                                                                               0.27598867947873784  18.6516              25.7964              0.9754               3.8028               13.8881              0                    1                    1                    2                    
